Zeit [h]	Außentemperatur [C]	Variante 1 Raum A [C]	Variante 2 Raum A [C]	Variante 3 Raum A [C]	Variante 3 Raum B [C]	Variante 4 Raum A [C]	Variante 4 Raum B [C]
617	30	29.8216	24.7237	0	0	0	0
618	30	29.8231	24.9751	0	0	0	0
619	30	29.8246	25.1467	0	0	0	0
620	30	29.8261	25.1809	0	0	0	0
621	30	29.8275	25.187	0	0	0	0
622	30	29.829	25.0913	0	0	0	0
623	30	29.8305	24.9286	0	0	0	0
624	30	29.8319	24.734	0	0	0	0
625	30	29.8333	24.5281	0	0	0	0
626	30	29.8347	24.3213	0	0	0	0
627	30	29.8361	24.1187	0	0	0	0
628	30	29.8375	23.9231	0	0	0	0
629	30	29.8389	23.7355	0	0	0	0
630	30	29.8402	23.5561	0	0	0	0
631	30	29.8416	23.3849	0	0	0	0
632	30	29.8429	23.2218	0	0	0	0
